task_external_id	final_category	source	override_value	csv_label	agrees_with_csv
githut-top-language-push-events-q2-2014	C2_structured	rule			
gov-ca-biz-lookup	C99_other	fallback			
gov-fema-flood-map	C99_other	fallback			
gov-irs-home-ofc	C3_government	rule			
gov-medicare-rx-cmp	C99_other	fallback			
gov-sec-form4-tsla	C3_government	rule			
gps-spoof-device-earnings-investigation	C99_other	fallback			
gps-spoof-highest-surge-rider-impact	C99_other	fallback			
gps-spoof-repeat-offender-total-discrepancy	C99_other	fallback			
gps-spoof-sfo-cluster-driver-count	C99_other	fallback			
happymap-age-bracket-shift	C2_structured	rule			
happymap-country-comparison	C2_structured	rule			
happymap-deep-zoom-subcategories	C2_structured	rule			
happymap-embedded-chart-interpretation	C2_structured	rule			
happymap-find-pairs-education	C3_government	rule			
happymap-find-woman	C2_structured	rule			
happymap-gender-parenthood-analysis	C2_structured	rule			
happymap-multi-filter-demographics	C2_structured	rule			
happymap-narrator-claims-verification	C2_structured	rule			
happymap-popular-age-group	C2_structured	rule			
happymap-region-navigation-compare	C2_structured	rule			
happymap-search-cross-demographic	C2_structured	rule			
happymap-story-tour-synthesis	C2_structured	rule			
happymap-verify-age-groups	C2_structured	rule			
harbor/workplace-angular-qa-bugfix	C99_other	fallback			
harbor/workplace-gitlab-bugfix-followup	C99_other	fallback			
hard-map-pan-escalated-across-zones	C99_other	fallback			
hard-map-pan-south-san-jose-driver	C99_other	fallback			
highest_percentage_of_votes_for_con	C2_structured	csv		C2_structured	yes
histography-category-count-shift-wars	C2_structured	rule			
histography-category-toggle-count-comparison	C2_structured	rule			
histography-contextual-messages-ancient-times	C2_structured	rule			
histography-cursor-year-tracking	C2_structured	rule			
histography-era-label-bold-tracking	C2_structured	rule			
histography-event-panel-related-events-chain	C2_structured	rule			
histography-graph-vs-round-event-comparison	C2_structured	rule			
histography-header-text-zoom-progression	C2_structured	rule			
histography-third-earliest-war	C2_structured	rule		C2_structured	yes
histography-two-category-comparison-renaissance	C2_structured	rule			
histography-women-rights-information-age-ordered-list	C2_structured	rule			
histography-zoom-wars-mvps-1900s	C2_structured	rule			
home-depot-kitchen	C99_other	fallback			
home-depot-paint	C99_other	fallback			
home-depot-solar	C99_other	fallback			
home-depot-swing	C99_other	fallback			
home-depot-tile	C99_other	fallback			
hover-calibration	C99_other	fallback			
hover-precision-calibration	C99_other	fallback			
iana-arpa-deprec	C2_structured	rule			
iana-covid-ksk	C2_structured	rule			
iana-dps-editions	C2_structured	rule			
iana-draft-oldest	C2_structured	rule			
iana-droot-old-ip	C2_structured	rule			
iana-hsm-latest	C2_structured	rule			
iana-ksk41-span	C2_structured	rule			
iana-lacnic-icp2	C2_structured	rule			
iana-rksh-countries	C2_structured	rule			
iana-tcr-oldest-w	C2_structured	rule			
kanboard-due-date-bug	C99_other	fallback			
karthikeya-acrylic-sticker-color-match-to-bar-chart	C2_structured	rule			
karthikeya-bar-vs-line-chart-cross-reference-day	C2_structured	rule			
karthikeya-box-laser-cut-dimensions-vs-screen-count	C2_structured	rule			
karthikeya-cross-project-award-and-duration	C2_structured	rule			
karthikeya-data-table-vs-bar-chart-verification	C2_structured	rule			
karthikeya-east-coast-map-dot-color-cluster-counting	C2_structured	rule			
karthikeya-east-coast-map-statistics-reading	C2_structured	rule			
karthikeya-entertainment-bar-vs-line-chart-cross-reference	C2_structured	rule			
karthikeya-entertainment-cross-reference	C2_structured	rule		C2_structured	yes
karthikeya-keychain-symbol-decode-cross-reference	C2_structured	rule			
karthikeya-line-graph-estimate-unlabeled-peak-value	C2_structured	rule			
karthikeya-navigate-to-east-coast-vessel-insights	C2_structured	rule			
karthikeya-screens-aug-acrylic-card-text-reading	C2_structured	rule			
karthikeya-screens-aug-category-color-matching	C2_structured	rule			
karthikeya-screens-aug-data-table-app-on-specific-day	C2_structured	rule			
karthikeya-screens-aug-ideation-materials-comparison	C2_structured	rule			
karthikeya-screens-aug-line-graph-crossing-event	C2_structured	rule			
karthikeya-screens-aug-stacked-bar-lowest-day-annotation	C2_structured	rule			
karthikeya-screens-aug-stacked-bar-tallest-day-categories	C2_structured	rule			
karthikeya-stacked-bar-count-entertainment-dominant-days	C2_structured	rule			
karthikeya-stacked-bar-segment-ordering-across-periods	C2_structured	rule			
karthikeya-three-project-dataviz-tools-comparison	C2_structured	rule			
keep-center-flared-cup-tools	C99_other	fallback			
keep-center-two-endings	C99_other	fallback			
kt-ig-worlds-2018-bans-majority-games	C99_other	fallback			
last-to-100m	C2_structured	rule			
last_to_100m	C2_structured	rule			
linkding-tags-stripped	C99_other	fallback			
lowest_migrant_destination_bangladesh	C2_structured	rule		C2_structured	yes
markdown-editor-xss	C99_other	fallback			
matterport-diy-kitchens-artwork-ocr	C99_other	fallback			
matterport-diy-kitchens-cookbook-images	C99_other	fallback			
memos-edit-lost	C99_other	fallback			
mm-backlash-grunge	C2_structured	rule			
mm-cross-supergenre	C2_structured	rule			
mm-cross-supgenre-h	C2_structured	rule			
mm-darkwave-conn-h	C2_structured	rule			
mm-darkwave-connects	C2_structured	rule			
mm-gangsta-rap-war	C2_structured	rule			
mm-house-techno-link	C2_structured	rule			
mm-list-supergenres	C2_structured	rule			
mm-list-supgenres-h	C2_structured	rule			
mm-metal-subgenres	C2_structured	rule			
mm-purple-farthest-direct	C2_structured	rule			
mm-rockabilly-reach	C2_structured	rule			
mm-secondary-connections	C2_structured	rule		C2_structured	yes
moderator_speaking	C6_unscoped_search	rule			
mysterious-monkeys-lec-players-may-2026	C6_unscoped_search	rule			
mysterious-monkeys-toplaner-earliest-pro-debut	C6_unscoped_search	rule			
nasa-calipso-orbit	C2_structured	rule			
nasa-constellation-second-most-stars	C2_structured	rule			
nasa-eyes-smap-underbelly-reflector	C2_structured	rule			
nasa-new-horizons-pluto-closest-approach	C2_structured	rule			
nasa-peak-satellites-2005-to-2010	C2_structured	rule			
nasa-pluto-flyby	C3_government	override	C3_government	C3_government	yes
nasa-satellites-jul-2009	C2_structured	rule			
nasa-spacecraft-second-closest-pair	C2_structured	rule			
ncase-trust-copycat-threshold-simulation	C2_structured	rule			
noaa-hurricane-katrina-rita-highest-latitude-category5	C3_government	rule			
noaa-slr-miami-highest-dry-level	C3_government	rule		C3_government	yes
north_norfolk_takeaways_and_sandwich_shops_failed_inspections	C99_other	fallback			
number_failed	C6_unscoped_search	rule			
number_of_red	C99_other	fallback			
off_topic_responses	C6_unscoped_search	rule			
peoplemovin-bangladesh-lowest-emigrant-destination	C2_structured	rule			
peoplemovin-sort-migrants-high-range	C2_structured	rule			
peoplemovin-sort-migrants-low-range	C2_structured	rule			
peoplemovin-sort-migrants-mid-range	C2_structured	rule			
portillos-berkshire-ownership-change	C4_smb	rule			
portillos-does-item-portillos-with-most	C4_smb	rule			
portillos-engaged-capital-activist-thesis	C3_government	override	C3_government	C3_government	yes
portillos-hosting-graduation-party-35-people	C4_smb	rule			
portillos-how-many-portillos-menu-items	C4_smb	rule			
portillos-how-much-more-net-revenue	C4_smb	rule			
portillos-identify-all-5pct-holders	C3_government	override	C3_government	C3_government	yes
portillos-just-moved-west-coast-im	C4_smb	rule			
portillos-trying-keep-eye-calorie-intake	C4_smb	rule			
portillos-trying-keep-eye-salt-intake	C4_smb	rule			
portillos-trying-settle-debate-with-roommate	C4_smb	rule			
portillos-want-feed-kids-healthy-meal	C4_smb	rule			
portillos-which-catered-pastas-has-most	C4_smb	rule			
portillos-which-states-have-between-13	C4_smb	rule			
pudding-hiphop-wutang-westcoast-comparison	C99_other	fallback			
pydocs-312-additions-os-and-sys	C2_structured	rule			
pydocs-313-env-vars-cross-page	C2_structured	rule			
pydocs-async-context-dunder	C2_structured	rule			
pydocs-class-getitem-purpose	C2_structured	rule			
pydocs-collections-generic-crossref	C2_structured	rule			
pydocs-deprecated-census-all-pages	C2_structured	rule			
pydocs-deprecated-module-census	C2_structured	rule			
pydocs-find-getloadavg	C2_structured	rule			
pydocs-genericalias-classgetitem	C2_structured	rule			
pydocs-memoryview-release	C2_structured	rule			
pydocs-modindex-deprecated-groups	C2_structured	rule			
pydocs-modindex-tkinter-count	C2_structured	rule			
pydocs-modindex-underscore	C2_structured	rule			
pydocs-modindex-z-modules	C2_structured	rule			
pydocs-ordereddict-move-to-end	C2_structured	rule			
pydocs-os-audit-event-aliases	C2_structured	rule			
pydocs-os-sched-policy	C2_structured	rule			
pydocs-os-urandom-pep	C2_structured	rule			
pydocs-reduce-moved	C2_structured	rule			
pydocs-sched-setparam-vs-getparam	C2_structured	rule			
pydocs-sorted-stability	C2_structured	rule			
pydocs-sorted-vs-list-sort	C2_structured	rule			
pydocs-union-type-operator	C2_structured	rule			
pydocs-zip-strict-version	C2_structured	rule			
refresh-editor-session	C99_other	fallback			
response-to-second	C99_other	fallback			
response_to_second	C6_unscoped_search	rule			
response_to_second_question	C6_unscoped_search	rule			
response_to_second_v2b_strict	C6_unscoped_search	rule			
reuters-insect-arachnid-assessed-pct	C2_structured	rule			
reuters-insect-fox-prey-chain	C2_structured	rule			
reuters-insect-species-sum	C2_structured	rule			
reuters-insect-third-most-assessed	C2_structured	rule			
reuters-insect-true-bugs-threatened	C2_structured	rule		C2_structured	yes
rhythm-of-food-cheeseburger-lamb-min-trend	C2_structured	rule		C2_structured	yes
rhythm-of-food-december-diet-score	C2_structured	rule		C2_structured	yes
rhythm-of-food-feijoa-4th-highest	C2_structured	rule		C2_structured	yes
rhythm-of-food-herbs-spices-summer-popularity	C2_structured	rule		C2_structured	yes
rhythm-of-food-peach-least-searched-season	C2_structured	rule			
rng-worlds-2018-wins-most-picked-champion	C6_unscoped_search	rule			
scroll-calibration	C99_other	fallback			
settings-page-no-persist	C99_other	fallback			
sf-temp-housing-may-june	C99_other	fallback			
shopify-supply-moves-hat-airholes	C1_ecommerce	rule			
shopify-supply-mvp-crew-display-descriptions	C1_ecommerce	rule			
si-gd-table-extract	C99_other	fallback			
si-gs-budget-merge	C99_other	fallback			
si-gs-color-status	C99_other	fallback			
si-gs-hidden-sheet	C99_other	fallback			
si-gs-pivot-xref	C99_other	fallback			
smb-bkpr-propolis	C99_other	fallback			
smb-cf-central-cmp	C99_other	fallback			
smb-fellow-barber	C99_other	fallback			
smb-magnolia-cake	C99_other	fallback			
smb-screendoor-gf	C99_other	fallback			
sneak-debut-album-department-leads	C6_unscoped_search	rule			
sneak-sharpshooter-sample-lil-keed-producer	C6_unscoped_search	rule			
sonos-5star-battle	C1_ecommerce	rule			
sonos-architectural-savings	C1_ecommerce	rule			
sonos-atmos-budget	C1_ecommerce	rule			
sonos-cheapest-surround	C1_ecommerce	rule			
sonos-portable-specs	C1_ecommerce	rule			
sonos-premium-breakdown	C1_ecommerce	rule			
sonos-refurb-best-deal	C1_ecommerce	rule			
sonos-set-value-check	C1_ecommerce	rule			
sonos-soundbar-showdown	C1_ecommerce	rule			
sonos-top-rated-hunt	C1_ecommerce	rule			
speedrun-oot-g7-absence	C99_other	fallback			
steak-allergens	C99_other	fallback			
stellarium-web-visibility-comparison	C99_other	fallback			
stripe-ceo-reviewed	C99_other	fallback			
stripe-country	C1_ecommerce	rule		C1_ecommerce	yes
stripe-landmark	C99_other	fallback			
stripe-press-efficiency-author-cross-reference	C1_ecommerce	rule			
stripe-press-endorsement-network-mutual-praisers	C1_ecommerce	rule			
stripe-press-podcast-guest-book-connection	C1_ecommerce	rule			
stripe-press-second-most-retailer-options	C1_ecommerce	rule			
stripe-press-third-most-endorsed-book	C1_ecommerce	rule			
sts-capital-match	C2_structured	rule			
sts-dense-countries	C2_structured	rule			
sts-hockey-1990	C2_structured	rule			
sts-hockey-best-pct	C2_structured	rule			
sts-hockey-expansion	C2_structured	rule			
sts-hockey-redwings	C2_structured	rule			
sts-hockey-worst-gd	C2_structured	rule			
sts-site-navigation	C2_structured	rule			
sts-turtle-asian-river	C2_structured	rule			
sts-zero-pop	C2_structured	rule			
submarine-cable-map-pacific-junction-cables	C99_other	fallback			
task_e1	C99_other	fallback			
task_e104	C99_other	fallback			
task_e108	C99_other	fallback			
task_e2	C99_other	fallback			
task_e3	C99_other	fallback			
task_e37	C99_other	fallback			
task_e39	C99_other	fallback			
task_e4	C99_other	fallback			
task_e44	C99_other	fallback			
task_e46	C99_other	fallback			
task_e47	C99_other	fallback			
task_e48	C99_other	fallback			
task_e49	C99_other	fallback			
task_e5	C99_other	fallback			
task_e50	C99_other	fallback			
task_e51	C99_other	fallback			
task_e6	C99_other	fallback			
task_e66	C99_other	fallback			
task_e70	C99_other	fallback			
task_e71	C99_other	fallback			
task_e84	C99_other	fallback			
task_e87	C99_other	fallback			
task_e91	C99_other	fallback			
task_e92	C99_other	fallback			
task_e96	C99_other	fallback			
text-entry-calibration	C99_other	fallback			
thatsedu-bubble-ratio	C2_structured	rule		C2_structured	yes
thatsedu-cost-leader-reversal	C2_structured	rule			
thatsedu-gender-flip-benefits	C2_structured	rule		C2_structured	yes
thatsedu-income-tax-ranking-collapse	C2_structured	rule		C2_structured	yes
thatsedu-net-return-second-max	C2_structured	rule		C2_structured	yes
thatsedu-social-contribution-dominance	C2_structured	rule			
thatsedu-transfers-effect-scarcity	C2_structured	rule			
todo-app-broken-delete	C99_other	fallback			
top-migrant-destination-barbados	C99_other	fallback			
top_migrant_destination_barbados	C2_structured	rule			
top_migrant_destination_jamaica	C2_structured	rule			
uat-bench/excalidraw-pr10943-ui-design-before	C99_other	fallback			
uat-bench/excalidraw-pr8316-functionality-after	C99_other	fallback			
uat-bench/excalidraw-pr8316-functionality-before	C99_other	fallback			
uber-demos-escalated-case-number	C99_other	fallback			
uber-demos-route-dispute-overage-percentage-points	C99_other	fallback			
uber-demos-total-refund-amount	C99_other	fallback			
uber-eats-chipotle-delivery-eta	C99_other	fallback			
us-bureau-of-labor-cpi-statistic	C99_other	fallback			
usaspending-cellco-vs-eldery-handicapped-fund	C3_government	rule			
usaspending-commodity-assistance-program-outlays	C3_government	rule		C3_government	yes
vizcaya-water-level	C99_other	fallback			
wordle-archive-11	C99_other	fallback			
wordsearch-family-guy-shared-letters	C99_other	fallback			
worldbank-sdg-china-water-per-capita-change	C2_structured	rule			
worldbank-sdg-poverty-fiji-maldives	C2_structured	rule			
worldbank-sdg-water-below-threshold-1969	C2_structured	rule		C2_structured	yes
worldshapin-brazil-second-fastest-growing-axis	C2_structured	rule		C2_structured	yes
worldshapin-india-most-distorted-axis-identification	C2_structured	rule			
worldshapin-japan-axis-reaching-boundary	C2_structured	rule			
worldshapin-norway-axis-reaching-boundary	C2_structured	rule		C2_structured	yes
worldshapin-russia-shape-explosion-1995	C2_structured	rule			
worldshapin-south-africa-collapsing-axis	C2_structured	rule			
ynk-budget-xref	C99_other	fallback			
ynk-downtown-dev	C99_other	fallback			
ynk-fire-coverage	C99_other	fallback			
ynk-food-truck	C99_other	fallback			
ynk-landmark-reno	C99_other	fallback			
ynk-nepperhan-cncl	C99_other	fallback			
ynk-parking-board	C99_other	fallback			
ynk-senior-tax	C99_other	fallback			
ynk-zoning-linden	C99_other	fallback			
zoom-calibration	C99_other	fallback			
